trade_id,trade_date,desk,product,product_type,notional,currency,maturity_date,counterparty,instrument_id
T0001,2025-09-15,Rates,IRS,Interest Rate Swap,100000000,USD,2028-09-15,BankA,INST_IRS_01
T0002,2025-09-16,Rates,Bond,Fixed Income,50000000,USD,2026-09-16,BankB,INST_BOND_01
T0003,2025-09-17,FX,FX Forward,FX,10000000,EUR,2025-12-17,CorpC,INST_FX_EURUSD
T0004,2025-09-18,Equities,Equity Swap,Equity,5000000,USD,2026-09-18,FundD,INST_EQ_SWAP_01
T0005,2025-09-19,FX,Option,FX Option,2000000,GBP,2025-11-19,BankE,INST_FX_OPT_01
T0006,2025-09-20,Rates,IRS,Interest Rate Swap,200000000,USD,2030-09-20,BankF,INST_IRS_02
T0007,2025-09-21,Equities,Equity,Equity,1000000,USD,2026-01-21,FundG,INST_EQ_01
T0008,2025-09-22,FX,FX Forward,FX,15000000,EUR,2026-03-22,CorpH,INST_FX_EURUSD
T0009,2025-09-23,Rates,Bond,Fixed Income,75000000,USD,2027-09-23,BankI,INST_BOND_02
T0010,2025-09-24,Equities,Option,Equity Option,500000,USD,2026-06-24,FundJ,INST_EQ_OPT_01
